x,y,station
-90.00945,310.1997,0
-90.43582,312.0318,0
-90.93513,314.5777,0
-90.61693,316.3917,0
-89.59986,318.1182,1
-88.02371,319.4203,0
-86.2122,319.4367,0
-88.44567,320.4006,0
-89.66068,321.5428,0
-91.04975,323.7429,0
-91.61728,325.3215,0
-91.95289,327.7336,0
-92.24828,329.4016,0
-92.19248,331.8162,0
-91.85104,334.0495,0
-91.21895,335.7917,0
-90.4272,337.4952,0
-89.45016,339.7044,0
-88.71428,341.8239,1
-87.76949,343.221,0
-86.367,345.1932,0
-84.57173,346.3941,0
-82.81698,347.0388,0
-80.79152,348.0044,0
-78.74197,348.9311,0
-76.65092,349.76,0
-74.56354,350.5532,0
-72.8033,351.183,0
-70.63455,351.7558,0
-68.77483,351.9738,0
-66.53318,352.0163,0
-64.30663,351.8605,0
-62.62511,351.8341,0
-60.30354,351.1876,0
-58.81863,350.1085,0
-57.45165,348.1082,0
-56.26762,346.9056,0
-54.19746,345.7253,0
-52.37088,345.908,0
-50.38589,346.356,0
-48.00653,346.8778,0
-46.22798,347.4171,0
-44.48518,348.4664,0
-45.57574,347.1938,0
-47.73014,345.7795,0
-49.82536,344.9902,0
-51.64803,344.8669,0
-53.49831,345.1367,0
-55.69141,345.6136,0
-57.40175,346.3695,0
-59.62193,347.3597,0
-61.36385,348.0531,0
-63.65748,348.8582,0
-65.73692,349.7016,0
-67.29292,350.3431,0
-69.69398,351.33,0
-71.26534,351.9628,0
-73.352,352.8032,0
-75.44375,353.6455,0
-77.02003,354.2505,0
-79.34325,354.8973,0
-81.02229,354.9541,0
-83.22963,354.0753,0
-85.13015,353.3879,0
-87.44984,352.6615,0
-89.05242,352.13,0
-91.14182,351.4421,0
-93.27608,350.8447,0
-95.45188,350.2957,0
-97.63996,349.7507,0
-99.81148,349.2303,0
-101.9943,348.7617,0
-103.6577,348.4714,0
-105.8694,348.0645,0
-108.1804,347.2613,0
-109.7839,346.7706,0
-111.7589,346.2586,0
-113.9783,345.8639,0
-116.3711,345.9226,0
-118.5481,346.24,0
-120.3906,346.5255,0
-122.6243,346.8724,0
-124.2819,347.1298,0
-126.6949,347.5055,0
-128.8023,348.2635,0
-129.9716,349.4719,0
-130.668,351.922,0
-130.763,353.7949,1
-131.1752,355.5427,0
-133.6412,354.7593,0
-135.4266,354.2047,0
-137.1703,353.5301,0
-139.421,352.5695,0
-141.4687,351.6779,0
-142.8658,350.4518,0
-144.5394,349.0154,0
-145.8078,347.8926,0
-148.0048,346.5001,0
-149.7119,345.3633,0
-151.102,344.4148,0
-153.2159,343.2153,0
-154.9291,342.4618,0
-157.0989,341.962,0
-159.5202,341.9608,0
-161.1751,342.2305,0
-163.5426,343.2644,0
-165.3912,344.5622,0
-166.6892,345.6162,1
-168.1434,346.8006,0
-169.9085,348.2035,0
-172.1057,349.1038,0
-173.7755,349.0252,0
-176.3178,348.5382,0
-178.0866,348.0031,0
-180.3282,347.7908,0
-182.7442,347.6523,0
-184.4374,347.6238,0
-187.0179,347.8437,0
-189.0378,348.1314,0
-190.8705,348.5291,0
-192.687,348.9948,0
-195.1853,349.74,0
-196.9949,350.1837,0
-199.0072,350.3958,0
-201.231,350.6764,0
-203.3847,351.2988,0
-205.0319,352.1547,0
-206.7796,353.5543,0
-208.1445,354.8242,1
-210.0955,356.2802,0
-211.9185,356.1783,0
-213.737,354.9066,0
-215.1696,354.0239,0
-217.4688,352.4669,0
-219.097,351.5482,0
-220.7477,350.6816,0
-222.6671,350.0324,0
-224.86,349.5562,0
-227.2639,349.4199,0
-229.11,349.5711,0
-231.6883,349.8739,0
-233.5589,350.0065,1
-235.4055,349.8878,0
-237.6364,349.5996,0
-239.8734,349.3152,0
-241.7392,349.0771,0
-244.117,348.6603,0
-245.7923,348.508,0
-247.7762,349.0589,0
-249.9239,350.1719,0
-251.9314,351.1864,0
-253.5253,351.7722,0
-255.7841,352.6297,0
-257.6549,353.4262,0
-259.4883,353.7841,0
-261.7174,354.086,0
-263.5612,355.1649,0
-263.0081,357.0753,0
-262.183,358.6945,0
-261.9832,360.9338,0
-262.3297,363.1492,0
-262.6776,364.9799,0
-262.8424,366.8252,0
-261.5989,368.8858,0
-260.304,369.759,0
-257.8409,370.0966,0
-256.3386,370.8444,0
-256.4467,372.4454,1
-257.5334,374.103,0
-258.3293,373.1385,0
-259.3582,370.9485,0
-260.4789,368.7994,0
-261.2106,367.0905,0
-261.9984,365.4381,0
-262.8658,363.1848,0
-263.5444,361.466,0
-264.385,359.3795,0
-265.3367,357.1729,0
-266.3851,355.407,0
-267.4297,354.0954,0
-269.2984,352.3045,0
-270.7192,351.0803,0
-272.5105,349.7232,0
-274.2778,348.7275,0
-275.834,348.0458,0
-277.3206,346.1946,0
-278.0952,344.6954,0
-279.1951,342.127,0
-279.843,340.5619,1
-280.6874,338.4828,0
-281.5469,336.41,0
-282.2265,334.6856,0
-283.09,332.4131,0
-283.6371,330.6369,0
-284.3247,328.3109,0
-284.8043,326.692,0
-285.462,324.5351,0
-286.2672,322.2358,0
-286.892,320.6674,0
-287.9853,318.5024,0
-289.2172,317.1157,0
-291.4589,315.7898,0
-293.0337,315.2005,0
-295.3882,314.7263,0
-297.3941,314.9006,0
-299.2246,315.3324,0
-301.5686,315.9967,0
-303.1553,316.5573,0
-305.2399,317.4013,0
-307.2943,318.6775,1
-308.6403,319.6877,0
-310.5845,321.1467,0
-312.0728,321.9399,0
-314.2625,322.9958,0
-315.7966,323.7271,0
-318.0091,324.7471,0
-320.0996,325.5623,0
-322.0099,326.738,0
-323.3589,327.7332,0
-325.4235,328.6224,1
-327.821,329.0108,0
-329.6524,329.2954,0
-332.0734,329.3892,0
-333.7724,329.3535,0
-336.2731,329.5484,0
-336.7163,331.3194,0
-337.9984,331.1162,0
-338.6181,328.9593,0
-339.2456,327.3978,0
-340.1964,325.3531,0
-341.3326,323.4129,0
-342.3986,322.1043,0
-344.3724,320.4074,0
-345.718,319.3967,0
-347.5362,317.5475,0
-348.3503,316.0664,0
-349.2138,314.0144,0
-349.979,311.7078,0
-350.1266,310.0253,0
-349.9581,307.7825,0
-349.7175,305.5471,0
-349.3309,303.7119,1
-348.9676,301.5044,0
-348.7429,299.6424,0
-349.4419,297.348,0
-350.616,295.4401,0
-351.6941,294.1479,0
-353.4799,292.4987,0
-354.7443,291.72,0
-357.308,290.1666,0
-358.7521,289.2916,0
-360.9244,288.218,0
-362.6874,287.6113,0
-364.5021,287.1939,0
-366.7159,287.1667,0
-368.9479,287.3334,0
-371.3297,287.7743,0
-372.5948,288.8054,0
-373.5935,290.8204,0
-374.5107,292.63,0
-375.531,294.416,0
-376.6785,296.5467,0
-377.5738,298.1884,0
-378.6438,300.1671,0
-379.7531,302.3425,0
-380.4582,304.0744,0
-380.4756,304.062,0
-379.7293,301.7489,0
-379.2608,300.121,0
-378.6566,297.7668,0
-378.2848,295.7607,0
-377.9255,294.1115,0
-377.2007,291.5965,0
-376.4554,289.4807,0
-375.5226,287.4444,0
-374.3936,285.9676,0
-373.2909,284.4505,0
